Gene,d0→d2,d2→d5,Total
SPTAN1,0.475976439919619,0.390260054195963,0.866236494115582
MYO1B,0.474997392928416,0.188973341993696,0.663970734922112
PDIA6,0.473668365290482,0.264601053307059,0.738269418597541
MAST2,0.47074113160671,0.556133663614316,1.026874795221026
CCN1,0.469185209864113,0.312308201302346,0.781493411166459
ASNSD1,0.46669334750696,0.2487896241895,0.71548297169646
FLNA,0.464256044979876,0.434366107435839,0.898622152415715
CMPK1,0.463493377746762,0.258874221604028,0.7223675993507901
COL6A2,0.455715085889858,0.67914018869343,1.134855274583288
PLXNB2,0.449326672637861,0.381008064360843,0.830334736998704
APLP2,0.438066140115238,0.460083778071451,0.898149918186689
ARHGAP32,0.436872221084221,0.721424854298512,1.158297075382733
DBN1,0.436235547266057,0.451624315842513,0.88785986310857
NBAS,0.435973859728518,0.409062911078613,0.8450367708071309
KDM5B,0.434063999077582,0.330468434052092,0.7645324331296739
NUDT14,0.430271688690124,0.301550272621866,0.7318219613119901
PAM,0.424176479287196,0.797477835090979,1.221654314378175
MBNL2,0.414008560876394,0.409936941674263,0.823945502550657
MFF,0.410089407328526,0.198477178170134,0.6085665854986599
TOP2B,0.409891818913136,0.236379900002644,0.64627171891578
VASP,0.401095115080848,0.319561387206245,0.720656502287093
KCTD10,0.392052321848897,0.453039881370333,0.8450922032192301
ISG12(B),0.390277983359296,0.627124788268921,1.017402771628217
GLB1,0.388928787503348,0.61669612756824,1.005624915071588
PALM2,0.386583108403076,0.429991724367588,0.816574832770664
ISCU,0.383186728722631,0.277485379000372,0.660672107723003
B3GAT3,0.382555390788874,0.219714338077493,0.602269728866367
ILK,0.380286773487473,0.19251498074756,0.572801754235033
CTNND1,0.377948927821616,0.437008024858287,0.814956952679903
AFAP1,0.377464149659731,0.395511282873127,0.7729754325328579
UGCG,0.376985922968587,0.68302491339805,1.060010836366637
GNG5,0.376528712761717,0.148637729707562,0.525166442469279
TMEM50A,0.37591858983311,0.169136087482667,0.545054677315777
SRP14,0.375229489822107,0.192681103411983,0.56791059323409
CRIM1,0.372122857520973,0.721296178848192,1.093419036369165
ACTN4,0.36819817937109,0.182290938905746,0.550489118276836
RNF10,0.360500990917102,0.39041688942248,0.750917880339582
SAMD4A,0.359084149609932,0.387365461866924,0.746449611476856
ADM,0.355139180438158,0.455957689913807,0.811096870351965
MYH9,0.35118148534304,0.356949004660071,0.708130490003111
COX6A1,0.350497862765124,0.198457677792954,0.548955540558078
TP53INP1,0.349593474388351,0.426607007213937,0.776200481602288
LEPROTL1,0.344551935424888,0.249391719406578,0.593943654831466
HEXB,0.3388189240042,0.467616274555246,0.806435198559446
TMSB4X,0.338711087095144,0.252404824895648,0.591115911990792
KCNK12,0.337733573414881,1.43947173442791,1.777205307842791
PDE5A,0.334833060381187,0.398333829389202,0.7331668897703889
