"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EEA1",8.32007078540978e-20,0.392145326748746,0.922,0.89,1.82043148784766e-15
"PMEPA1",8.61676913071551e-20,1.10058040603536,0.367,0.253,1.88534908580055e-15
"NT5E",8.71162887657367e-20,1.28500352572543,0.212,0.102,1.90610439819432e-15
"CSNK2B",9.60384912504313e-20,-0.2560227712434,0.887,0.934,2.10132218855944e-15
"SRSF7",9.61360944284736e-20,-0.487352731201101,0.676,0.773,2.103457746095e-15
"METRNL",1.04539304577935e-19,-0.435488040553546,0.725,0.817,2.28731998416521e-15
"UBE2I.1",1.06324152717743e-19,-0.37554268094921,0.771,0.849,2.32637246146422e-15
"RPL29",1.06544302852587e-19,-0.0997816442726789,1,0.999,2.3311893464146e-15
"SNRPD2",1.11501549813293e-19,-0.212737654344161,0.968,0.983,2.43965390991485e-15
"BTG1",1.16264021417304e-19,0.261747995489438,0.995,0.995,2.54385678861061e-15
"MCM4",1.20037625488611e-19,-1.1990911110133,0.178,0.301,2.62642324569082e-15
